year,month,frequency,months,timing
2001,November,75,11,2001-11-01
2002,January,80,1,2002-01-01
2002,February,81,2,2002-02-01
2002,March,77,3,2002-03-01
2002,April,69,4,2002-04-01
2002,May,56,5,2002-05-01
2002,June,88,6,2002-06-01
2002,July,96,7,2002-07-01
2002,August,85,8,2002-08-01
2002,September,94,9,2002-09-01
2002,October,107,10,2002-10-01
2002,November,117,11,2002-11-01
2002,December,86,12,2002-12-01
2003,January,113,1,2003-01-01
2003,February,50,2,2003-02-01
2003,March,70,3,2003-03-01
2003,April,120,4,2003-04-01
2003,May,106,5,2003-05-01
2003,June,77,6,2003-06-01
2003,July,60,7,2003-07-01
2003,August,104,8,2003-08-01
2003,September,115,9,2003-09-01
2003,October,86,10,2003-10-01
2003,November,98,11,2003-11-01
2003,December,128,12,2003-12-01
2004,January,99,1,2004-01-01
2004,February,135,2,2004-02-01
2004,March,98,3,2004-03-01
2004,April,86,4,2004-04-01
2004,May,58,5,2004-05-01
2004,June,116,6,2004-06-01
2004,July,121,7,2004-07-01
2004,August,71,8,2004-08-01
2004,September,81,9,2004-09-01
2004,October,108,10,2004-10-01
2004,November,65,11,2004-11-01
2004,December,97,12,2004-12-01
2005,January,82,1,2005-01-01
2005,February,111,2,2005-02-01
2005,March,97,3,2005-03-01
2005,April,50,4,2005-04-01
2005,May,90,5,2005-05-01
2005,June,138,6,2005-06-01
2005,July,65,7,2005-07-01
2005,August,123,8,2005-08-01
2005,September,57,9,2005-09-01
2005,October,104,10,2005-10-01
2005,November,112,11,2005-11-01
2005,December,89,12,2005-12-01
2006,January,124,1,2006-01-01
2006,February,68,2,2006-02-01
2006,March,114,3,2006-03-01
2006,April,80,4,2006-04-01
2006,May,78,5,2006-05-01
2006,June,99,6,2006-06-01
2006,July,90,7,2006-07-01
2006,August,125,8,2006-08-01
2006,September,111,9,2006-09-01
2006,October,57,10,2006-10-01
2006,November,62,11,2006-11-01
2006,December,132,12,2006-12-01
2007,January,135,1,2007-01-01
2007,February,53,2,2007-02-01
2007,March,78,3,2007-03-01
2007,April,69,4,2007-04-01
2007,May,114,5,2007-05-01
2007,June,115,6,2007-06-01
