year,month,frequency,months,timing
2001,November,21,11,2001-11-01
2002,January,22,1,2002-01-01
2002,February,14,2,2002-02-01
2002,March,63,3,2002-03-01
2002,April,16,4,2002-04-01
2002,May,52,5,2002-05-01
2002,June,52,6,2002-06-01
2002,July,65,7,2002-07-01
2002,August,14,8,2002-08-01
2002,September,8,9,2002-09-01
2002,October,21,10,2002-10-01
2002,November,3,11,2002-11-01
2002,December,33,12,2002-12-01
2003,January,14,1,2003-01-01
2003,February,9,2,2003-02-01
2003,March,22,3,2003-03-01
2003,April,5,4,2003-04-01
2003,May,18,5,2003-05-01
2003,June,71,6,2003-06-01
2003,July,39,7,2003-07-01
2003,August,19,8,2003-08-01
2003,September,68,9,2003-09-01
2003,October,36,10,2003-10-01
2003,November,52,11,2003-11-01
2003,December,18,12,2003-12-01
2004,January,39,1,2004-01-01
2004,February,23,2,2004-02-01
2004,March,23,3,2004-03-01
2004,April,58,4,2004-04-01
2004,May,65,5,2004-05-01
2004,June,43,6,2004-06-01
2004,July,18,7,2004-07-01
2004,August,10,8,2004-08-01
2004,September,28,9,2004-09-01
2004,October,10,10,2004-10-01
2004,November,29,11,2004-11-01
2004,December,8,12,2004-12-01
2005,January,14,1,2005-01-01
2005,February,5,2,2005-02-01
2005,March,75,3,2005-03-01
2005,April,10,4,2005-04-01
2005,May,30,5,2005-05-01
2005,June,45,6,2005-06-01
2005,July,4,7,2005-07-01
2005,August,73,8,2005-08-01
2005,September,56,9,2005-09-01
2005,October,32,10,2005-10-01
2005,November,33,11,2005-11-01
2005,December,5,12,2005-12-01
2006,January,38,1,2006-01-01
2006,February,74,2,2006-02-01
2006,March,61,3,2006-03-01
2006,April,39,4,2006-04-01
2006,May,73,5,2006-05-01
2006,June,56,6,2006-06-01
2006,July,32,7,2006-07-01
2006,August,33,8,2006-08-01
2006,September,20,9,2006-09-01
2006,October,4,10,2006-10-01
2006,November,12,11,2006-11-01
2006,December,4,12,2006-12-01
2007,January,64,1,2007-01-01
2007,February,11,2,2007-02-01
2007,March,14,3,2007-03-01
2007,April,25,4,2007-04-01
2007,May,14,5,2007-05-01
2007,June,10,6,2007-06-01
2007,July,30,7,2007-07-01
2007,August,69,8,2007-08-01
2007,September,71,9,2007-09-01
2007,October,65,10,2007-10-01
2007,November,13,11,2007-11-01
2007,December,7,12,2007-12-01
2008,January,6,1,2008-01-01
2008,February,55,2,2008-02-01
2008,March,16,3,2008-03-01
2008,April,4,4,2008-04-01
2008,May,41,5,2008-05-01
2008,June,7,6,2008-06-01
2008,July,14,7,2008-07-01
2008,August,49,8,2008-08-01
2008,September,64,9,2008-09-01
2008,October,57,10,2008-10-01
2008,November,56,11,2008-11-01
2008,December,4,12,2008-12-01
2009,January,26,1,2009-01-01
2009,February,28,2,2009-02-01
2009,March,66,3,2009-03-01
2009,April,13,4,2009-04-01
2009,May,13,5,2009-05-01
2009,June,37,6,2009-06-01
2009,July,62,7,2009-07-01
2009,August,24,8,2009-08-01
2009,September,35,9,2009-09-01
2009,October,12,10,2009-10-01
2009,November,43,11,2009-11-01
2009,December,29,12,2009-12-01
2010,January,11,1,2010-01-01
2010,February,37,2,2010-02-01
2010,March,51,3,2010-03-01
2010,April,25,4,2010-04-01
2010,May,27,5,2010-05-01
2010,June,14,6,2010-06-01
2010,July,5,7,2010-07-01
2010,August,4,8,2010-08-01
2010,September,6,9,2010-09-01
2010,October,28,10,2010-10-01
2010,November,19,11,2010-11-01
2010,December,10,12,2010-12-01
2011,January,29,1,2011-01-01
2011,February,69,2,2011-02-01
2011,March,75,3,2011-03-01
2011,April,71,4,2011-04-01
2011,May,18,5,2011-05-01
2011,June,56,6,2011-06-01
2011,July,28,7,2011-07-01
2011,August,59,8,2011-08-01
2011,September,25,9,2011-09-01
2011,October,21,10,2011-10-01
2011,November,24,11,2011-11-01
2011,December,35,12,2011-12-01
2012,January,8,1,2012-01-01
2012,February,58,2,2012-02-01
2012,March,40,3,2012-03-01
2012,April,50,4,2012-04-01
2012,May,57,5,2012-05-01
2012,June,6,6,2012-06-01
2012,July,22,7,2012-07-01
2012,August,12,8,2012-08-01
2012,September,11,9,2012-09-01
