year,month,frequency,months,timing
2001,November,0,11,2001-11-01
2002,January,15,1,2002-01-01
2002,February,25,2,2002-02-01
2002,March,30,3,2002-03-01
2002,April,21,4,2002-04-01
2002,May,0,5,2002-05-01
2002,June,0,6,2002-06-01
2002,July,14,7,2002-07-01
2002,August,5,8,2002-08-01
2002,September,9,9,2002-09-01
2002,October,1,10,2002-10-01
2002,November,3,11,2002-11-01
2002,December,4,12,2002-12-01
2003,January,8,1,2003-01-01
2003,February,15,2,2003-02-01
2003,March,23,3,2003-03-01
2003,April,19,4,2003-04-01
2003,May,17,5,2003-05-01
2003,June,16,6,2003-06-01
2003,July,4,7,2003-07-01
2003,August,0,8,2003-08-01
2003,September,3,9,2003-09-01
2003,October,2,10,2003-10-01
2003,November,0,11,2003-11-01
2003,December,3,12,2003-12-01
2004,January,27,1,2004-01-01
2004,February,3,2,2004-02-01
2004,March,13,3,2004-03-01
2004,April,0,4,2004-04-01
2004,May,0,5,2004-05-01
2004,June,0,6,2004-06-01
2004,July,0,7,2004-07-01
2004,August,0,8,2004-08-01
2004,September,7,9,2004-09-01
2004,October,4,10,2004-10-01
2004,November,8,11,2004-11-01
2004,December,10,12,2004-12-01
2005,January,27,1,2005-01-01
2005,February,18,2,2005-02-01
2005,March,0,3,2005-03-01
2005,April,0,4,2005-04-01
2005,May,1,5,2005-05-01
2005,June,3,6,2005-06-01
2005,July,2,7,2005-07-01
2005,August,4,8,2005-08-01
2005,September,5,9,2005-09-01
2005,October,7,10,2005-10-01
2005,November,0,11,2005-11-01
2005,December,0,12,2005-12-01
2006,January,14,1,2006-01-01
2006,February,13,2,2006-02-01
2006,March,5,3,2006-03-01
2006,April,30,4,2006-04-01
2006,May,23,5,2006-05-01
2006,June,22,6,2006-06-01
2006,July,41,7,2006-07-01
2006,August,55,8,2006-08-01
2006,September,15,9,2006-09-01
2006,October,9,10,2006-10-01
2006,November,44,11,2006-11-01
2006,December,2,12,2006-12-01
2007,January,48,1,2007-01-01
2007,February,27,2,2007-02-01
2007,March,55,3,2007-03-01
2007,April,54,4,2007-04-01
2007,May,2,5,2007-05-01
2007,June,7,6,2007-06-01
2007,July,18,7,2007-07-01
2007,August,12,8,2007-08-01
2007,September,23,9,2007-09-01
2007,October,30,10,2007-10-01
2007,November,10,11,2007-11-01
2007,December,3,12,2007-12-01
2008,January,7,1,2008-01-01
2008,February,38,2,2008-02-01
2008,March,58,3,2008-03-01
2008,April,11,4,2008-04-01
2008,May,17,5,2008-05-01
2008,June,27,6,2008-06-01
2008,July,14,7,2008-07-01
2008,August,59,8,2008-08-01
2008,September,40,9,2008-09-01
2008,October,38,10,2008-10-01
2008,November,25,11,2008-11-01
2008,December,38,12,2008-12-01
2009,January,52,1,2009-01-01
2009,February,77,2,2009-02-01
2009,March,23,3,2009-03-01
2009,April,21,4,2009-04-01
2009,May,25,5,2009-05-01
2009,June,30,6,2009-06-01
2009,July,39,7,2009-07-01
2009,August,27,8,2009-08-01
2009,September,0,9,2009-09-01
2009,October,1,10,2009-10-01
2009,November,9,11,2009-11-01
2009,December,13,12,2009-12-01
2010,January,31,1,2010-01-01
2010,February,44,2,2010-02-01
2010,March,57,3,2010-03-01
2010,April,45,4,2010-04-01
2010,May,29,5,2010-05-01
2010,June,57,6,2010-06-01
2010,July,43,7,2010-07-01
2010,August,10,8,2010-08-01
2010,September,75,9,2010-09-01
2010,October,48,10,2010-10-01
2010,November,90,11,2010-11-01
2010,December,98,12,2010-12-01
2011,January,5,1,2011-01-01
2011,February,41,2,2011-02-01
2011,March,10,3,2011-03-01
2011,April,19,4,2011-04-01
2011,May,36,5,2011-05-01
2011,June,42,6,2011-06-01
2011,July,32,7,2011-07-01
2011,August,27,8,2011-08-01
2011,September,8,9,2011-09-01
2011,October,1,10,2011-10-01
2011,November,0,11,2011-11-01
2011,December,0,12,2011-12-01
2012,January,0,1,2012-01-01
2012,February,0,2,2012-02-01
2012,March,0,3,2012-03-01
2012,April,1,4,2012-04-01
2012,May,2,5,2012-05-01
2012,June,44,6,2012-06-01
2012,July,15,7,2012-07-01
2012,August,14,8,2012-08-01
2012,September,48,9,2012-09-01
2012,October,28,10,2012-10-01
2012,November,19,11,2012-11-01
2012,December,12,12,2012-12-01
2013,January,10,1,2013-01-01
2013,February,15,2,2013-02-01
2013,March,37,3,2013-03-01
2013,April,33,4,2013-04-01
2013,May,59,5,2013-05-01
2013,June,35,6,2013-06-01
2013,July,12,7,2013-07-01
2013,August,11,8,2013-08-01
2013,September,42,9,2013-09-01
2013,October,45,10,2013-10-01
2013,November,14,11,2013-11-01
2013,December,44,12,2013-12-01
2014,January,37,1,2014-01-01
2014,February,30,2,2014-02-01
2014,March,22,3,2014-03-01
2014,April,27,4,2014-04-01
2014,May,11,5,2014-05-01
2014,June,28,6,2014-06-01
2014,July,39,7,2014-07-01
2014,August,47,8,2014-08-01
2014,September,59,9,2014-09-01
2014,October,11,10,2014-10-01
2014,November,39,11,2014-11-01
2014,December,32,12,2014-12-01
2015,January,25,1,2015-01-01
2015,February,8,2,2015-02-01
2015,March,58,3,2015-03-01
2015,April,89,4,2015-04-01
2015,May,93,5,2015-05-01
2015,June,102,6,2015-06-01
2015,July,105,7,2015-07-01
2015,August,99,8,2015-08-01
2015,September,106,9,2015-09-01
2015,October,91,10,2015-10-01
2015,November,39,11,2015-11-01
2015,December,98,12,2015-12-01
2016,January,22,1,2016-01-01
2016,February,57,2,2016-02-01
2016,March,18,3,2016-03-01
2016,April,20,4,2016-04-01
2016,May,29,5,2016-05-01
2016,June,27,6,2016-06-01
2016,July,12,7,2016-07-01
2016,August,6,8,2016-08-01
2016,September,97,9,2016-09-01
2016,October,32,10,2016-10-01
2016,November,25,11,2016-11-01
2016,December,13,12,2016-12-01
2017,January,3,1,2017-01-01
2017,February,27,2,2017-02-01
2017,March,14,3,2017-03-01
2017,April,19,4,2017-04-01
2017,May,5,5,2017-05-01
2017,June,16,6,2017-06-01
2017,July,99,7,2017-07-01
2017,August,85,8,2017-08-01
2017,September,24,9,2017-09-01
2017,October,15,10,2017-10-01
2017,November,12,11,2017-11-01
2017,December,24,12,2017-12-01
2018,January,32,1,2018-01-01
2018,February,34,2,2018-02-01
2018,March,33,3,2018-03-01
2018,April,35,4,2018-04-01
2018,May,45,5,2018-05-01
2018,June,46,6,2018-06-01
2018,July,43,7,2018-07-01
2018,August,34,8,2018-08-01
2018,September,45,9,2018-09-01
2018,October,56,10,2018-10-01
2018,November,45,11,2018-11-01
2018,December,45,12,2018-12-01
2019,January,46,1,2019-01-01
2019,February,56,2,2019-02-01
2019,March,43,3,2019-03-01
2019,April,47,4,2019-04-01
2019,May,44,5,2019-05-01
2019,June,56,6,2019-06-01
2019,July,32,7,2019-07-01
2019,August,29,8,2019-08-01
2019,September,27,9,2019-09-01
2019,October,26,10,2019-10-01
2019,November,24,11,2019-11-01
2019,December,23,12,2019-12-01
2020,January,25,1,2020-01-01
2020,February,26,2,2020-02-01
2020,March,24,3,2020-03-01
2020,April,24,4,2020-04-01
2020,May,23,5,2020-05-01
2020,June,22,6,2020-06-01
2020,July,9,7,2020-07-01
