year,month,frequency,months,timing
2001,November,13,11,2001-11-01
2002,January,3,1,2002-01-01
2002,February,5,2,2002-02-01
2002,March,0,3,2002-03-01
2002,April,1,4,2002-04-01
2002,May,2,5,2002-05-01
2002,June,2,6,2002-06-01
2002,July,11,7,2002-07-01
2002,August,3,8,2002-08-01
2002,September,5,9,2002-09-01
2002,October,0,10,2002-10-01
2002,November,1,11,2002-11-01
2002,December,2,12,2002-12-01
2003,January,2,1,2003-01-01
2003,February,11,2,2003-02-01
2003,March,25,3,2003-03-01
2003,April,40,4,2003-04-01
2003,May,2,5,2003-05-01
2003,June,3,6,2003-06-01
2003,July,0,7,2003-07-01
2003,August,9,8,2003-08-01
2003,September,0,9,2003-09-01
2003,October,2,10,2003-10-01
2003,November,31,11,2003-11-01
2003,December,2,12,2003-12-01
2004,January,0,1,2004-01-01
2004,February,3,2,2004-02-01
2004,March,2,3,2004-03-01
2004,April,60,4,2004-04-01
2004,May,11,5,2004-05-01
2004,June,1,6,2004-06-01
2004,July,23,7,2004-07-01
2004,August,9,8,2004-08-01
2004,September,0,9,2004-09-01
2004,October,1,10,2004-10-01
2004,November,6,11,2004-11-01
2004,December,8,12,2004-12-01
2005,January,17,1,2005-01-01
2005,February,1,2,2005-02-01
2005,March,6,3,2005-03-01
2005,April,3,4,2005-04-01
2005,May,11,5,2005-05-01
2005,June,5,6,2005-06-01
2005,July,0,7,2005-07-01
2005,August,3,8,2005-08-01
2005,September,29,9,2005-09-01
2005,October,19,10,2005-10-01
2005,November,32,11,2005-11-01
2005,December,22,12,2005-12-01
2006,January,31,1,2006-01-01
2006,February,6,2,2006-02-01
2006,March,5,3,2006-03-01
2006,April,24,4,2006-04-01
2006,May,6,5,2006-05-01
2006,June,9,6,2006-06-01
2006,July,29,7,2006-07-01
2006,August,54,8,2006-08-01
2006,September,15,9,2006-09-01
2006,October,5,10,2006-10-01
2006,November,42,11,2006-11-01
2006,December,1,12,2006-12-01
2007,January,35,1,2007-01-01
2007,February,2,2,2007-02-01
2007,March,29,3,2007-03-01
2007,April,15,4,2007-04-01
2007,May,0,5,2007-05-01
2007,June,5,6,2007-06-01
2007,July,5,7,2007-07-01
2007,August,4,8,2007-08-01
2007,September,4,9,2007-09-01
2007,October,19,10,2007-10-01
2007,November,9,11,2007-11-01
2007,December,2,12,2007-12-01
2008,January,2,1,2008-01-01
2008,February,6,2,2008-02-01
2008,March,2,3,2008-03-01
2008,April,2,4,2008-04-01
2008,May,3,5,2008-05-01
2008,June,24,6,2008-06-01
2008,July,14,7,2008-07-01
2008,August,21,8,2008-08-01
2008,September,23,9,2008-09-01
2008,October,1,10,2008-10-01
2008,November,4,11,2008-11-01
2008,December,15,12,2008-12-01
2009,January,42,1,2009-01-01
2009,February,87,2,2009-02-01
2009,March,26,3,2009-03-01
2009,April,31,4,2009-04-01
2009,May,62,5,2009-05-01
2009,June,95,6,2009-06-01
2009,July,47,7,2009-07-01
2009,August,80,8,2009-08-01
2009,September,21,9,2009-09-01
2009,October,64,10,2009-10-01
2009,November,2,11,2009-11-01
2009,December,3,12,2009-12-01
2010,January,25,1,2010-01-01
2010,February,13,2,2010-02-01
2010,March,41,3,2010-03-01
2010,April,43,4,2010-04-01
2010,May,1,5,2010-05-01
2010,June,5,6,2010-06-01
2010,July,1,7,2010-07-01
2010,August,2,8,2010-08-01
2010,September,15,9,2010-09-01
2010,October,5,10,2010-10-01
2010,November,13,11,2010-11-01
2010,December,8,12,2010-12-01
2011,January,11,1,2011-01-01
2011,February,8,2,2011-02-01
2011,March,16,3,2011-03-01
2011,April,6,4,2011-04-01
2011,May,23,5,2011-05-01
2011,June,22,6,2011-06-01
2011,July,17,7,2011-07-01
2011,August,3,8,2011-08-01
2011,September,5,9,2011-09-01
2011,October,4,10,2011-10-01
2011,November,10,11,2011-11-01
2011,December,10,12,2011-12-01
2012,January,0,1,2012-01-01
2012,February,6,2,2012-02-01
2012,March,39,3,2012-03-01
2012,April,6,4,2012-04-01
2012,May,18,5,2012-05-01
2012,June,25,6,2012-06-01
2012,July,7,7,2012-07-01
2012,August,3,8,2012-08-01
2012,September,29,9,2012-09-01
2012,October,20,10,2012-10-01
2012,November,2,11,2012-11-01
2012,December,0,12,2012-12-01
2013,January,2,1,2013-01-01
2013,February,11,2,2013-02-01
2013,March,1,3,2013-03-01
2013,April,23,4,2013-04-01
2013,May,21,5,2013-05-01
