year,month,frequency,months,timing,
2001,November,3,11,2001-11-01,52
2002,January,6,1,2002-01-01,56
2002,February,1,2,2002-02-01,89
2002,March,0,3,2002-03-01,32
2002,April,18,4,2002-04-01,42
2002,May,8,5,2002-05-01,116
2002,June,85,6,2002-06-01,7
2002,July,62,7,2002-07-01,153
2002,August,63,8,2002-08-01,151
2002,September,34,9,2002-09-01,131
2002,October,25,10,2002-10-01,112
2002,November,20,11,2002-11-01,53
2002,December,34,12,2002-12-01,140
2003,January,4,1,2003-01-01,92
2003,February,37,2,2003-02-01,130
2003,March,82,3,2003-03-01,58
2003,April,52,4,2003-04-01,109
2003,May,17,5,2003-05-01,111
2003,June,29,6,2003-06-01,152
2003,July,49,7,2003-07-01,136
2003,August,30,8,2003-08-01,138
2003,September,82,9,2003-09-01,76
2003,October,44,10,2003-10-01,143
2003,November,11,11,2003-11-01,123
2003,December,62,12,2003-12-01,115
2004,January,34,1,2004-01-01,84
2004,February,6,2,2004-02-01,122
2004,March,132,3,2004-03-01,93
2004,April,80,4,2004-04-01,112
2004,May,116,5,2004-05-01,63
2004,June,20,6,2004-06-01,105
2004,July,32,7,2004-07-01,147
2004,August,121,8,2004-08-01,127
2004,September,48,9,2004-09-01,152
2004,October,61,10,2004-10-01,119
2004,November,24,11,2004-11-01,13
2004,December,117,12,2004-12-01,112
2005,January,65,1,2005-01-01,58
2005,February,73,2,2005-02-01,127
2005,March,150,3,2005-03-01,155
2005,April,18,4,2005-04-01,0
2005,May,84,5,2005-05-01,29
2005,June,48,6,2005-06-01,74
2005,July,66,7,2005-07-01,12
2005,August,132,8,2005-08-01,92
2005,September,122,9,2005-09-01,62
2005,October,115,10,2005-10-01,77
2005,November,51,11,2005-11-01,41
2005,December,8,12,2005-12-01,41
2006,January,11,1,2006-01-01,7
2006,February,105,2,2006-02-01,32
2006,March,74,3,2006-03-01,40
2006,April,42,4,2006-04-01,109
2006,May,56,5,2006-05-01,134
2006,June,52,6,2006-06-01,120
2006,July,102,7,2006-07-01,119
2006,August,133,8,2006-08-01,141
2006,September,49,9,2006-09-01,38
2006,October,111,10,2006-10-01,84
2006,November,58,11,2006-11-01,24
2006,December,82,12,2006-12-01,76
2007,January,141,1,2007-01-01,96
2007,February,120,2,2007-02-01,30
2007,March,51,3,2007-03-01,25
2007,April,82,4,2007-04-01,144
2007,May,3,5,2007-05-01,129
2007,June,152,6,2007-06-01,36
2007,July,73,7,2007-07-01,148
2007,August,124,8,2007-08-01,104
2007,September,106,9,2007-09-01,111
2007,October,87,10,2007-10-01,111
2007,November,140,11,2007-11-01,23
2007,December,17,12,2007-12-01,37
2008,January,118,1,2008-01-01,130
2008,February,154,2,2008-02-01,105
2008,March,95,3,2008-03-01,148
2008,April,21,4,2008-04-01,38
2008,May,125,5,2008-05-01,21
2008,June,121,6,2008-06-01,89
2008,July,74,7,2008-07-01,34
2008,August,59,8,2008-08-01,140
2008,September,117,9,2008-09-01,15
