year,month,frequency,timing,months
2004,November,0,2004-11-01,11
2004,December,1,2004-12-01,12
2005,January,2,2005-01-01,1
2005,February,3,2005-02-01,2
2005,March,23,2005-03-01,3
2005,April,9,2005-04-01,4
2005,May,2,2005-05-01,5
2005,June,0,2005-06-01,6
2005,July,0,2005-07-01,7
2005,August,1,2005-08-01,8
2005,September,2,2005-09-01,9
2005,October,29,2005-10-01,10
2005,November,0,2005-11-01,11
2005,December,1,2005-12-01,12
2006,January,3,2006-01-01,1
2006,February,1,2006-02-01,2
2006,March,31,2006-03-01,3
2006,April,0,2006-04-01,4
2006,May,8,2006-05-01,5
2006,June,0,2006-06-01,6
2006,July,2,2006-07-01,7
2006,August,1,2006-08-01,8
2006,September,1,2006-09-01,9
2006,October,48,2006-10-01,10
2006,November,5,2006-11-01,11
2006,December,1,2006-12-01,12
2007,January,7,2007-01-01,1
2007,February,1,2007-02-01,2
2007,March,54,2007-03-01,3
2007,April,1,2007-04-01,4
2007,May,0,2007-05-01,5
2007,June,3,2007-06-01,6
2007,August,2,2007-08-01,8
2007,September,9,2007-09-01,9
2007,October,63,2007-10-01,10
2007,November,8,2007-11-01,11
2007,December,0,2007-12-01,12
2008,January,0,2008-01-01,1
2008,February,3,2008-02-01,2
2008,March,60,2008-03-01,3
2008,April,9,2008-04-01,4
2008,May,6,2008-05-01,5
2008,June,2,2008-06-01,6
2008,July,3,2008-07-01,7
2008,August,1,2008-08-01,8
2008,September,3,2008-09-01,9
2008,October,44,2008-10-01,10
2008,November,9,2008-11-01,11
2008,December,4,2008-12-01,12
2009,January,2,2009-01-01,1
2009,February,5,2009-02-01,2
2009,March,46,2009-03-01,3
2009,April,8,2009-04-01,4
2009,May,7,2009-05-01,5
2009,June,9,2009-06-01,6
2009,July,4,2009-07-01,7
2009,August,8,2009-08-01,8
2009,September,4,2009-09-01,9
2009,October,60,2009-10-01,10
2009,November,7,2009-11-01,11
2009,December,3,2009-12-01,12
2010,January,2,2010-01-01,1
2010,February,7,2010-02-01,2
2010,March,59,2010-03-01,3
2010,April,7,2010-04-01,4
2010,May,0,2010-05-01,5
2010,June,1,2010-06-01,6
2010,July,1,2010-07-01,7
2010,August,4,2010-08-01,8
2010,September,0,2010-09-01,9
2010,October,62,2010-10-01,10
2010,November,3,2010-11-01,11
2010,December,5,2010-12-01,12
2011,January,0,2011-01-01,1
2011,February,6,2011-02-01,2
2011,March,57,2011-03-01,3
2011,April,9,2011-04-01,4
2011,May,8,2011-05-01,5
2011,June,4,2011-06-01,6
2011,July,7,2011-07-01,7
2011,August,6,2011-08-01,8
2011,September,6,2011-09-01,9
2011,October,48,2011-10-01,10
2011,November,1,2011-11-01,11
2011,December,1,2011-12-01,12
2012,January,8,2012-01-01,1
2012,February,4,2012-02-01,2
2012,March,52,2012-03-01,3
2012,April,8,2012-04-01,4
2012,May,9,2012-05-01,5
2012,June,6,2012-06-01,6
2012,July,8,2012-07-01,7
2012,August,5,2012-08-01,8
2012,September,9,2012-09-01,9
2012,October,62,2012-10-01,10
2012,November,9,2012-11-01,11
2012,December,9,2012-12-01,12
2013,January,9,2013-01-01,1
2013,February,9,2013-02-01,2
2013,March,49,2013-03-01,3
2013,April,6,2013-04-01,4
2013,May,9,2013-05-01,5
2013,June,7,2013-06-01,6
2013,July,0,2013-07-01,7
2013,August,5,2013-08-01,8
2013,September,0,2013-09-01,9
2013,October,58,2013-10-01,10
2013,November,5,2013-11-01,11
2013,December,7,2013-12-01,12
2014,January,1,2014-01-01,1
2014,February,5,2014-02-01,2
2014,March,49,2014-03-01,3
2014,April,7,2014-04-01,4
2014,May,9,2014-05-01,5
2014,June,5,2014-06-01,6
2014,July,3,2014-07-01,7
2014,September,2,2014-09-01,9
2014,October,54,2014-10-01,10
2014,November,7,2014-11-01,11
2014,December,4,2014-12-01,12
2015,January,1,2015-01-01,1
2015,February,9,2015-02-01,2
2015,March,49,2015-03-01,3
2015,April,5,2015-04-01,4
2015,May,2,2015-05-01,5
2015,June,8,2015-06-01,6
2015,July,7,2015-07-01,7
2015,August,4,2015-08-01,8
2015,September,4,2015-09-01,9
2015,October,60,2015-10-01,10
2015,November,1,2015-11-01,11
2015,December,4,2015-12-01,12
2016,January,6,2016-01-01,1
2016,February,9,2016-02-01,2
2016,March,48,2016-03-01,3
2016,May,3,2016-05-01,5
2016,August,1,2016-08-01,8
2016,September,9,2016-09-01,9
2016,October,51,2016-10-01,10
2016,December,1,2016-12-01,12
2017,January,7,2017-01-01,1
2017,February,5,2017-02-01,2
2017,March,47,2017-03-01,3
2017,April,8,2017-04-01,4
2017,May,8,2017-05-01,5
2017,August,1,2017-08-01,8
2017,September,6,2017-09-01,9
2017,October,66,2017-10-01,10
2017,November,3,2017-11-01,11
2017,December,0,2017-12-01,12
2018,January,1,2018-01-01,1
2018,February,7,2018-02-01,2
