year,month,frequency,months,timing
2005,January,3,1,2005-01-01
2005,February,3,2,2005-02-01
2005,March,4,3,2005-03-01
2005,June,1,6,2005-06-01
2005,July,2,7,2005-07-01
2005,August,9,8,2005-08-01
2005,September,1,9,2005-09-01
2005,December,56,12,2005-12-01
2006,January,13,1,2006-01-01
2006,February,10,2,2006-02-01
2006,March,15,3,2006-03-01
2006,April,12,4,2006-04-01
2006,May,5,5,2006-05-01
2006,June,126,6,2006-06-01
2006,July,3,7,2006-07-01
2006,August,46,8,2006-08-01
2006,September,53,9,2006-09-01
2006,October,23,10,2006-10-01
2006,November,218,11,2006-11-01
2006,December,31,12,2006-12-01
2007,January,77,1,2007-01-01
2007,February,2,2,2007-02-01
2007,March,87,3,2007-03-01
2007,April,77,4,2007-04-01
2007,May,1,5,2007-05-01
2007,June,6,6,2007-06-01
2007,August,60,8,2007-08-01
2007,September,55,9,2007-09-01
2007,October,30,10,2007-10-01
2007,November,35,11,2007-11-01
2007,December,62,12,2007-12-01
2008,January,94,1,2008-01-01
2008,February,1,2,2008-02-01
2008,March,3,3,2008-03-01
2008,April,23,4,2008-04-01
2008,May,4,5,2008-05-01
2008,June,211,6,2008-06-01
2008,July,61,7,2008-07-01
2008,August,93,8,2008-08-01
2008,September,10,9,2008-09-01
2008,October,87,10,2008-10-01
2008,November,65,11,2008-11-01
2009,January,94,1,2009-01-01
2009,February,20,2,2009-02-01
2009,April,3,4,2009-04-01
2009,May,6,5,2009-05-01
2009,June,4,6,2009-06-01
2009,July,16,7,2009-07-01
2009,August,2,8,2009-08-01
2009,September,38,9,2009-09-01
2009,October,21,10,2009-10-01
2009,November,12,11,2009-11-01
2009,December,1,12,2009-12-01
2010,January,2,1,2010-01-01
2010,February,2,2,2010-02-01
2010,March,3,3,2010-03-01
2010,April,11,4,2010-04-01
2010,May,112,5,2010-05-01
2010,June,95,6,2010-06-01
2010,July,3,7,2010-07-01
2010,August,7,8,2010-08-01
2010,September,5,9,2010-09-01
2010,October,106,10,2010-10-01
2010,November,1,11,2010-11-01
2010,December,11,12,2010-12-01
2011,January,4,1,2011-01-01
2011,March,11,3,2011-03-01
2011,April,4,4,2011-04-01
2011,May,103,5,2011-05-01
2011,June,2,6,2011-06-01
2011,July,10,7,2011-07-01
2011,August,29,8,2011-08-01
2011,September,2,9,2011-09-01
2011,November,3,11,2011-11-01
2011,December,3,12,2011-12-01
2012,January,37,1,2012-01-01
2012,February,16,2,2012-02-01
2012,March,4,3,2012-03-01
2012,April,3,4,2012-04-01
2012,May,6,5,2012-05-01
2012,June,7,6,2012-06-01
2012,September,1,9,2012-09-01
2012,October,6,10,2012-10-01
2012,November,4,11,2012-11-01
2013,February,22,2,2013-02-01
2013,March,11,3,2013-03-01
2013,June,1,6,2013-06-01
2013,July,4,7,2013-07-01
2013,August,30,8,2013-08-01
2013,September,5,9,2013-09-01
2013,November,2,11,2013-11-01
2014,February,2,2,2014-02-01
2014,April,2,4,2014-04-01
2014,July,97,7,2014-07-01
2014,August,5,8,2014-08-01
2015,February,5,2,2015-02-01
2015,June,5,6,2015-06-01
2015,September,2,9,2015-09-01
2015,October,2,10,2015-10-01
2015,December,2,12,2015-12-01
2016,January,7,1,2016-01-01
2016,February,2,2,2016-02-01
2016,March,3,3,2016-03-01
2016,June,1,6,2016-06-01
2016,September,7,9,2016-09-01
2016,November,2,11,2016-11-01
2017,February,2,2,2017-02-01
2017,March,2,3,2017-03-01
2017,April,18,4,2017-04-01
2017,May,1,5,2017-05-01
2017,September,3,9,2017-09-01
2017,November,1,11,2017-11-01
2018,January,2,1,2018-01-01
2018,February,5,2,2018-02-01
2018,March,5,3,2018-03-01
2018,April,3,4,2018-04-01
2018,June,4,6,2018-06-01
2018,July,2,7,2018-07-01
2018,September,2,9,2018-09-01
2019,March,7,3,2019-03-01
2019,August,7,8,2019-08-01
2019,September,46,9,2019-09-01
2019,October,46,10,2019-10-01
2020,February,7,2,2020-02-01
2020,April,1,4,2020-04-01
2020,July,3,7,2020-07-01
