year,months,frequency,month,timing
2004,November,12,11,2004-11-01
2004,December,3,12,2004-12-01
2005,January,6,1,2005-01-01
2005,February,4,2,2005-02-01
2005,March,4,3,2005-03-01
2005,April,1,4,2005-04-01
2005,May,4,5,2005-05-01
2005,July,26,7,2005-07-01
2005,August,28,8,2005-08-01
2005,September,9,9,2005-09-01
2005,October,15,10,2005-10-01
2005,November,3,11,2005-11-01
2005,December,7,12,2005-12-01
2006,January,24,1,2006-01-01
2006,February,33,2,2006-02-01
2006,March,23,3,2006-03-01
2006,April,3,4,2006-04-01
2006,June,15,6,2006-06-01
2006,August,17,8,2006-08-01
2006,September,14,9,2006-09-01
2006,October,12,10,2006-10-01
2006,November,3,11,2006-11-01
2007,January,26,1,2007-01-01
2007,February,4,2,2007-02-01
2007,March,26,3,2007-03-01
2007,April,4,4,2007-04-01
2007,May,4,5,2007-05-01
2007,June,7,6,2007-06-01
2007,July,2,7,2007-07-01
2007,August,4,8,2007-08-01
2007,September,15,9,2007-09-01
2007,November,4,11,2007-11-01
2008,January,3,1,2008-01-01
2008,February,26,2,2008-02-01
2008,March,47,3,2008-03-01
2008,April,6,4,2008-04-01
2008,May,1,5,2008-05-01
2008,June,7,6,2008-06-01
2008,July,1,7,2008-07-01
2008,August,11,8,2008-08-01
2008,September,14,9,2008-09-01
2008,October,3,10,2008-10-01
2008,November,7,11,2008-11-01
2008,December,4,12,2008-12-01
2009,January,17,1,2009-01-01
2009,February,7,2,2009-02-01
2009,March,5,3,2009-03-01
2009,April,1,4,2009-04-01
2009,May,1,5,2009-05-01
2009,June,2,6,2009-06-01
2009,July,2,7,2009-07-01
2009,August,15,8,2009-08-01
2009,September,5,9,2009-09-01
2009,October,2,10,2009-10-01
2009,November,10,11,2009-11-01
2009,December,3,12,2009-12-01
2010,January,1,1,2010-01-01
2010,February,8,2,2010-02-01
2010,March,15,3,2010-03-01
2010,April,10,4,2010-04-01
2010,June,7,6,2010-06-01
2010,July,4,7,2010-07-01
2010,August,5,8,2010-08-01
2010,September,11,9,2010-09-01
2010,October,6,10,2010-10-01
2010,November,2,11,2010-11-01
2010,December,2,12,2010-12-01
2011,January,10,1,2011-01-01
2011,February,1,2,2011-02-01
2011,March,14,3,2011-03-01
2011,April,11,4,2011-04-01
2011,May,23,5,2011-05-01
2011,June,4,6,2011-06-01
2011,August,8,8,2011-08-01
2011,September,21,9,2011-09-01
2011,November,2,11,2011-11-01
2012,February,5,2,2012-02-01
2012,March,14,3,2012-03-01
2012,April,3,4,2012-04-01
2012,May,2,5,2012-05-01
2012,June,2,6,2012-06-01
2012,July,4,7,2012-07-01
2012,September,32,9,2012-09-01
2012,October,8,10,2012-10-01
2012,November,1,11,2012-11-01
2013,January,2,1,2013-01-01
2013,February,5,2,2013-02-01
2013,March,9,3,2013-03-01
2013,June,15,6,2013-06-01
2013,July,2,7,2013-07-01
2013,August,19,8,2013-08-01
2013,September,11,9,2013-09-01
2013,October,22,10,2013-10-01
2013,November,1,11,2013-11-01
2013,December,1,12,2013-12-01
2014,January,3,1,2014-01-01
2014,February,8,2,2014-02-01
2014,March,3,3,2014-03-01
2014,April,1,4,2014-04-01
2014,August,5,8,2014-08-01
2014,September,3,9,2014-09-01
2014,November,1,11,2014-11-01
2014,December,4,12,2014-12-01
2015,February,1,2,2015-02-01
2015,March,3,3,2015-03-01
2015,April,3,4,2015-04-01
2015,May,1,5,2015-05-01
2015,August,3,8,2015-08-01
2015,September,3,9,2015-09-01
2015,December,8,12,2015-12-01
2016,January,9,1,2016-01-01
2016,February,1,2,2016-02-01
2016,March,9,3,2016-03-01
2016,April,2,4,2016-04-01
2016,August,1,8,2016-08-01
2017,February,1,2,2017-02-01
2017,March,2,3,2017-03-01
2017,April,3,4,2017-04-01
2017,May,4,5,2017-05-01
2017,August,1,8,2017-08-01
2017,November,2,11,2017-11-01
2018,January,1,1,2018-01-01
2018,February,7,2,2018-02-01
2018,March,11,3,2018-03-01
2018,April,1,4,2018-04-01
2018,June,1,6,2018-06-01
2018,July,1,7,2018-07-01
2018,August,1,8,2018-08-01
2018,September,1,9,2018-09-01
2018,November,1,11,2018-11-01
2019,February,1,2,2019-02-01
2019,March,1,3,2019-03-01
2019,May,1,5,2019-05-01
2019,July,1,7,2019-07-01
2019,September,2,9,2019-09-01
2019,October,3,10,2019-10-01
2020,April,6,4,2020-04-01
