year,month,months_num,frequency,timing
2004,November,11,9,2004-11-01
2005,April,4,1,2005-04-01
2005,August,8,26,2005-08-01
2005,December,12,17,2005-12-01
2005,February,2,2,2005-02-01
2005,July,7,30,2005-07-01
2005,June,6,2,2005-06-01
2005,March,3,70,2005-03-01
2005,May,5,2,2005-05-01
2005,November,11,14,2005-11-01
2005,October,10,10,2005-10-01
2006,August,8,4,2006-08-01
2006,December,12,6,2006-12-01
2006,February,2,4,2006-02-01
2006,January,1,2,2006-01-01
2006,July,7,5,2006-07-01
2006,June,6,75,2006-06-01
2006,March,3,22,2006-03-01
2006,May,5,19,2006-05-01
2006,November,11,54,2006-11-01
2006,October,10,43,2006-10-01
2006,September,9,10,2006-09-01
2007,April,4,5,2007-04-01
2007,December,12,76,2007-12-01
2007,February,2,8,2007-02-01
2007,January,1,16,2007-01-01
2007,July,7,1,2007-07-01
2007,March,3,47,2007-03-01
2007,November,11,12,2007-11-01
2007,October,10,1,2007-10-01
2007,September,9,81,2007-09-01
2008,April,4,13,2008-04-01
2008,August,8,10,2008-08-01
2008,December,12,1,2008-12-01
2008,February,2,73,2008-02-01
2008,January,1,14,2008-01-01
2008,July,7,5,2008-07-01
2008,June,6,8,2008-06-01
2008,March,3,10,2008-03-01
2008,May,5,3,2008-05-01
2008,November,11,26,2008-11-01
2008,October,10,2,2008-10-01
2008,September,9,23,2008-09-01
2009,April,4,12,2009-04-01
2009,August,8,11,2009-08-01
2009,December,12,3,2009-12-01
2009,February,2,12,2009-02-01
2009,January,1,15,2009-01-01
2009,July,7,45,2009-07-01
2009,June,6,4,2009-06-01
2009,March,3,4,2009-03-01
2009,May,5,9,2009-05-01
2009,November,11,6,2009-11-01
2009,October,10,3,2009-10-01
2009,September,9,49,2009-09-01
2010,April,4,12,2010-04-01
2010,August,8,9,2010-08-01
2010,December,12,8,2010-12-01
2010,February,2,4,2010-02-01
2010,January,1,2,2010-01-01
2010,June,6,19,2010-06-01
2010,March,3,51,2010-03-01
2010,May,5,14,2010-05-01
2010,November,11,3,2010-11-01
2010,October,10,13,2010-10-01
2010,September,9,13,2010-09-01
2011,April,4,11,2011-04-01
2011,August,8,2,2011-08-01
2011,December,12,1,2011-12-01
2011,February,2,5,2011-02-01
2011,January,1,2,2011-01-01
2011,July,7,2,2011-07-01
2011,June,6,2,2011-06-01
2011,March,3,90,2011-03-01
2011,May,5,87,2011-05-01
2011,November,11,4,2011-11-01
2011,October,10,13,2011-10-01
2011,September,9,6,2011-09-01
2012,August,8,2,2012-08-01
2012,February,2,3,2012-02-01
2012,January,1,4,2012-01-01
2012,July,7,2,2012-07-01
2012,June,6,8,2012-06-01
2012,March,3,13,2012-03-01
2012,May,5,8,2012-05-01
2012,November,11,2,2012-11-01
2012,October,10,5,2012-10-01
2012,September,9,8,2012-09-01
2013,April,4,6,2013-04-01
2013,August,8,15,2013-08-01
2013,December,12,3,2013-12-01
2013,February,2,4,2013-02-01
2013,January,1,20,2013-01-01
2013,July,7,7,2013-07-01
2013,March,3,28,2013-03-01
2013,November,11,2,2013-11-01
2013,October,10,3,2013-10-01
2013,September,9,17,2013-09-01
2014,April,4,11,2014-04-01
2014,August,8,4,2014-08-01
2014,February,2,2,2014-02-01
2014,July,7,13,2014-07-01
2014,June,6,3,2014-06-01
2014,March,3,32,2014-03-01
2014,May,5,5,2014-05-01
2014,November,11,4,2014-11-01
2014,September,9,2,2014-09-01
2015,April,4,3,2015-04-01
2015,August,8,7,2015-08-01
2015,December,12,1,2015-12-01
2015,February,2,2,2015-02-01
2015,January,1,7,2015-01-01
2015,July,7,3,2015-07-01
2015,June,6,25,2015-06-01
2015,March,3,8,2015-03-01
2015,May,5,9,2015-05-01
2015,November,11,6,2015-11-01
2015,October,10,2,2015-10-01
2015,September,9,15,2015-09-01
2016,August,8,1,2016-08-01
2016,December,12,1,2016-12-01
2016,February,2,17,2016-02-01
2016,January,1,1,2016-01-01
2016,March,3,19,2016-03-01
2016,November,11,3,2016-11-01
2016,September,9,13,2016-09-01
2017,April,4,8,2017-04-01
2017,August,8,3,2017-08-01
2017,February,2,10,2017-02-01
2017,January,1,5,2017-01-01
2017,March,3,7,2017-03-01
2017,May,5,9,2017-05-01
2017,November,11,39,2017-11-01
2017,October,10,2,2017-10-01
2017,September,9,4,2017-09-01
2018,April,4,11,2018-04-01
2018,August,8,12,2018-08-01
2018,December,12,2,2018-12-01
2018,February,2,4,2018-02-01
2018,January,1,29,2018-01-01
2018,July,7,8,2018-07-01
2018,June,6,1,2018-06-01
2018,March,3,22,2018-03-01
2018,May,5,2,2018-05-01
2019,April,4,8,2019-04-01
2019,August,8,13,2019-08-01
2019,December,12,3,2019-12-01
2019,February,2,2,2019-02-01
2019,January,1,1,2019-01-01
2019,March,3,1,2019-03-01
2019,November,11,9,2019-11-01
2019,October,10,1,2019-10-01
2019,September,9,11,2019-09-01
2020,April,4,2,2020-04-01
2020,February,2,1,2020-02-01
2020,January,1,1,2020-01-01
2020,July,7,5,2020-07-01
2020,June,6,4,2020-06-01
2020,March,3,5,2020-03-01
