year,month,months,timing,frequency
2005,March,3,2005-03-01,2
2005,May,5,2005-05-01,1
2005,June,6,2005-06-01,2
2005,July,7,2005-07-01,9
2005,August,8,2005-08-01,38
2005,September,9,2005-09-01,18
2005,October,10,2005-10-01,11
2005,November,11,2005-11-01,7
2005,December,12,2005-12-01,1
2006,January,1,2006-01-01,8
2006,February,2,2006-02-01,2
2006,April,4,2006-04-01,3
2006,June,6,2006-06-01,6
2006,September,9,2006-09-01,8
2006,October,10,2006-10-01,2
2007,January,1,2007-01-01,1
2007,March,3,2007-03-01,1
2007,June,6,2007-06-01,1
2007,August,8,2007-08-01,2
2007,September,9,2007-09-01,1
2007,October,10,2007-10-01,8
2007,December,12,2007-12-01,3
2008,January,1,2008-01-01,3
2008,February,2,2008-02-01,1
2008,March,3,2008-03-01,24
2008,April,4,2008-04-01,13
2008,May,5,2008-05-01,4
2008,July,7,2008-07-01,1
2008,August,8,2008-08-01,18
2008,September,9,2008-09-01,2
2008,October,10,2008-10-01,8
2008,November,11,2008-11-01,2
2008,December,12,2008-12-01,2
2009,January,1,2009-01-01,4
2009,February,2,2009-02-01,15
2009,March,3,2009-03-01,30
2009,April,4,2009-04-01,5
2009,May,5,2009-05-01,6
2009,June,6,2009-06-01,5
2009,August,8,2009-08-01,9
2009,October,10,2009-10-01,7
2009,November,11,2009-11-01,11
2010,January,1,2010-01-01,17
2010,February,2,2010-02-01,2
2010,March,3,2010-03-01,36
2010,April,4,2010-04-01,17
2010,June,6,2010-06-01,6
2010,July,7,2010-07-01,13
2010,August,8,2010-08-01,27
2010,September,9,2010-09-01,2
2010,December,12,2010-12-01,2
2011,January,1,2011-01-01,40
2011,March,3,2011-03-01,18
2011,April,4,2011-04-01,1
2011,June,6,2011-06-01,2
2011,August,8,2011-08-01,2
2011,October,10,2011-10-01,2
2011,December,12,2011-12-01,13
2012,January,1,2012-01-01,2
2012,March,3,2012-03-01,13
2012,April,4,2012-04-01,2
2012,June,6,2012-06-01,6
2012,August,8,2012-08-01,1
2012,September,9,2012-09-01,2
2012,October,10,2012-10-01,2
2012,November,11,2012-11-01,2
2013,February,2,2013-02-01,3
2013,March,3,2013-03-01,2
2013,April,4,2013-04-01,4
2013,May,5,2013-05-01,1
2013,August,8,2013-08-01,2
2013,September,9,2013-09-01,11
2013,October,10,2013-10-01,2
2013,November,11,2013-11-01,16
2014,February,2,2014-02-01,2
2014,March,3,2014-03-01,3
2014,July,7,2014-07-01,7
2014,August,8,2014-08-01,7
2014,September,9,2014-09-01,54
2014,October,10,2014-10-01,4
2015,January,1,2015-01-01,9
2015,February,2,2015-02-01,24
2015,March,3,2015-03-01,26
2015,May,5,2015-05-01,4
2015,August,8,2015-08-01,2
2015,September,9,2015-09-01,4
2016,March,3,2016-03-01,9
2016,May,5,2016-05-01,1
2016,August,8,2016-08-01,3
2016,October,10,2016-10-01,4
2017,January,1,2017-01-01,1
2017,February,2,2017-02-01,1
2017,March,3,2017-03-01,3
2017,April,4,2017-04-01,3
2017,October,10,2017-10-01,8
2017,November,11,2017-11-01,11
2018,January,1,2018-01-01,13
2018,February,2,2018-02-01,24
2018,March,3,2018-03-01,18
2018,April,4,2018-04-01,7
2018,May,5,2018-05-01,1
2018,June,6,2018-06-01,2
2018,July,7,2018-07-01,5
2018,August,8,2018-08-01,3
2018,September,9,2018-09-01,4
2019,February,2,2019-02-01,1
2019,April,4,2019-04-01,2
2019,July,7,2019-07-01,18
2019,September,9,2019-09-01,23
2019,October,10,2019-10-01,8
2020,February,2,2020-02-01,1
2020,March,3,2020-03-01,3
2020,April,4,2020-04-01,8
2020,May,5,2020-05-01,1
2020,June,6,2020-06-01,2
2020,July,7,2020-07-01,1
