year,month,frequency,timing,months
2004,November,45,2004-11-01,11
2004,December,1,2004-12-01,12
2005,January,24,2005-01-01,1
2005,February,6,2005-02-01,2
2005,March,26,2005-03-01,3
2005,April,10,2005-04-01,4
2005,May,17,2005-05-01,5
2005,June,122,2005-06-01,6
2005,July,38,2005-07-01,7
2005,August,54,2005-08-01,8
2005,September,18,2005-09-01,9
2005,October,66,2005-10-01,10
2005,November,70,2005-11-01,11
2005,December,67,2005-12-01,12
2006,January,65,2006-01-01,1
2006,February,13,2006-02-01,2
2006,March,22,2006-03-01,3
2006,April,5,2006-04-01,4
2006,May,20,2006-05-01,5
2006,June,51,2006-06-01,6
2006,July,13,2006-07-01,7
2006,August,36,2006-08-01,8
2006,September,46,2006-09-01,9
2006,October,51,2006-10-01,10
2006,November,49,2006-11-01,11
2006,December,10,2006-12-01,12
2007,January,110,2007-01-01,1
2007,February,12,2007-02-01,2
2007,March,42,2007-03-01,3
2007,April,47,2007-04-01,4
2007,May,7,2007-05-01,5
2007,June,66,2007-06-01,6
2007,August,6,2007-08-01,8
2007,September,14,2007-09-01,9
2007,October,19,2007-10-01,10
2007,November,10,2007-11-01,11
2007,December,12,2007-12-01,12
2008,January,88,2008-01-01,1
2008,February,25,2008-02-01,2
2008,March,95,2008-03-01,3
2008,April,53,2008-04-01,4
2008,May,113,2008-05-01,5
2008,June,47,2008-06-01,6
2008,July,47,2008-07-01,7
2008,August,71,2008-08-01,8
2008,September,99,2008-09-01,9
2008,October,63,2008-10-01,10
2008,November,47,2008-11-01,11
2008,December,47,2008-12-01,12
2009,January,47,2009-01-01,1
2009,February,14,2009-02-01,2
2009,March,42,2009-03-01,3
2009,April,59,2009-04-01,4
2009,May,56,2009-05-01,5
2009,June,100,2009-06-01,6
2009,July,80,2009-07-01,7
2009,August,11,2009-08-01,8
2009,September,51,2009-09-01,9
2009,October,39,2009-10-01,10
2009,November,31,2009-11-01,11
2009,December,44,2009-12-01,12
2010,January,65,2010-01-01,1
2010,February,13,2010-02-01,2
2010,March,41,2010-03-01,3
2010,April,27,2010-04-01,4
2010,May,31,2010-05-01,5
2010,June,47,2010-06-01,6
2010,July,80,2010-07-01,7
2010,August,21,2010-08-01,8
2010,September,37,2010-09-01,9
2010,October,90,2010-10-01,10
2010,November,78,2010-11-01,11
2010,December,22,2010-12-01,12
2011,January,47,2011-01-01,1
2011,February,5,2011-02-01,2
2011,March,22,2011-03-01,3
2011,April,84,2011-04-01,4
2011,May,71,2011-05-01,5
2011,June,51,2011-06-01,6
2011,July,47,2011-07-01,7
2011,August,47,2011-08-01,8
2011,September,45,2011-09-01,9
2011,October,47,2011-10-01,10
2011,November,57,2011-11-01,11
2011,December,19,2011-12-01,12
2012,January,25,2012-01-01,1
2012,February,29,2012-02-01,2
2012,March,41,2012-03-01,3
2012,April,55,2012-04-01,4
2012,May,22,2012-05-01,5
2012,June,53,2012-06-01,6
2012,July,32,2012-07-01,7
2012,August,30,2012-08-01,8
2012,September,37,2012-09-01,9
2012,October,76,2012-10-01,10
2012,November,51,2012-11-01,11
2012,December,40,2012-12-01,12
2013,January,39,2013-01-01,1
2013,February,28,2013-02-01,2
2013,March,34,2013-03-01,3
2013,April,50,2013-04-01,4
2013,May,56,2013-05-01,5
2013,June,22,2013-06-01,6
2013,July,53,2013-07-01,7
2013,August,17,2013-08-01,8
2013,September,32,2013-09-01,9
2013,October,20,2013-10-01,10
2013,November,67,2013-11-01,11
2013,December,30,2013-12-01,12
2014,January,79,2014-01-01,1
2014,February,28,2014-02-01,2
2014,March,33,2014-03-01,3
2014,April,44,2014-04-01,4
2014,May,45,2014-05-01,5
2014,June,21,2014-06-01,6
2014,July,30,2014-07-01,7
2014,September,10,2014-09-01,9
2014,October,1,2014-10-01,10
2014,November,17,2014-11-01,11
2014,December,5,2014-12-01,12
2015,January,2,2015-01-01,1
2015,February,3,2015-02-01,2
2015,March,4,2015-03-01,3
2015,April,8,2015-04-01,4
2015,May,4,2015-05-01,5
2015,June,8,2015-06-01,6
2015,July,8,2015-07-01,7
2015,August,1,2015-08-01,8
2015,September,19,2015-09-01,9
2015,October,1,2015-10-01,10
2015,November,6,2015-11-01,11
2015,December,4,2015-12-01,12
2016,January,4,2016-01-01,1
2016,February,6,2016-02-01,2
2016,March,37,2016-03-01,3
2016,May,3,2016-05-01,5
2016,August,3,2016-08-01,8
2016,September,43,2016-09-01,9
2016,October,34,2016-10-01,10
2016,December,12,2016-12-01,12
2017,January,3,2017-01-01,1
2017,February,1,2017-02-01,2
2017,March,7,2017-03-01,3
2017,April,8,2017-04-01,4
2017,May,35,2017-05-01,5
2017,August,3,2017-08-01,8
2017,September,4,2017-09-01,9
2017,October,10,2017-10-01,10
2017,November,7,2017-11-01,11
2017,December,2,2017-12-01,12
2018,January,22,2018-01-01,1
2018,February,7,2018-02-01,2
2018,March,31,2018-03-01,3
2018,April,14,2018-04-01,4
2018,May,9,2018-05-01,5
2018,June,20,2018-06-01,6
2018,July,46,2018-07-01,7
2018,August,4,2018-08-01,8
2018,September,10,2018-09-01,9
2018,October,2,2018-10-01,10
2018,November,17,2018-11-01,11
2018,December,1,2018-12-01,12
2019,February,5,2019-02-01,2
2019,March,36,2019-03-01,3
2019,April,11,2019-04-01,4
2019,May,1,2019-05-01,5
2019,June,4,2019-06-01,6
2019,July,9,2019-07-01,7
2019,August,2,2019-08-01,8
2019,September,25,2019-09-01,9
2019,October,17,2019-10-01,10
2019,November,2,2019-11-01,11
2019,December,1,2019-12-01,12
2020,January,6,2020-01-01,1
2020,February,8,2020-02-01,2
2020,March,11,2020-03-01,3
2020,April,9,2020-04-01,4
2020,May,6,2020-05-01,5
2020,June,9,2020-06-01,6
