delivrables,strategies,releases
./deliverables/_independent/python-cueclient.yaml, abandoned,independent
./deliverables/_independent/dragonflow.yaml, abandoned,independent
./deliverables/_independent/networking-cisco.yaml, abandoned,independent
./deliverables/_independent/networking-ale-omniswitch.yaml, abandoned,independent
./deliverables/_independent/pylockfile.yaml, abandoned,independent
./deliverables/_independent/python-keystoneclient-kerberos.yaml, abandoned,independent
./deliverables/_independent/gnocchi.yaml, abandoned,independent
./deliverables/_independent/python-gnocchiclient.yaml, abandoned,independent
./deliverables/_independent/networking-ofagent.yaml, abandoned,independent
./deliverables/_independent/tuskar.yaml, abandoned,independent
./deliverables/_independent/networking-onos.yaml, abandoned,independent
./deliverables/_independent/networking-arista.yaml, abandoned,independent
./deliverables/_independent/networking-vsphere.yaml, abandoned,independent
./deliverables/_independent/django-openstack-auth-kerberos.yaml, abandoned,independent
./deliverables/_independent/kolla-kubernetes.yaml, abandoned,independent
./deliverables/_independent/tuskar-ui.yaml, abandoned,independent
./deliverables/_independent/castellan-ui.yaml, abandoned,independent
./deliverables/_independent/python-wsmanclient.yaml, abandoned,independent
./deliverables/_independent/python-tuskarclient.yaml, abandoned,independent
./deliverables/austin/swift.yaml, cycle-with-intermediary,austin
./deliverables/austin/nova.yaml, cycle-with-milestones,austin
./deliverables/bexar/swift.yaml, cycle-with-intermediary,bexar
./deliverables/bexar/glance.yaml, cycle-with-milestones,bexar
./deliverables/bexar/nova.yaml, cycle-with-milestones,bexar
./deliverables/cactus/swift.yaml, cycle-with-intermediary,cactus
./deliverables/cactus/glance.yaml, cycle-with-milestones,cactus
./deliverables/cactus/nova.yaml, cycle-with-milestones,cactus
./deliverables/diablo/python-novaclient.yaml, cycle-with-intermediary,diablo
./deliverables/diablo/swift.yaml, cycle-with-intermediary,diablo
./deliverables/diablo/glance.yaml, cycle-with-milestones,diablo
./deliverables/diablo/nova.yaml, cycle-with-milestones,diablo
./deliverables/essex/python-novaclient.yaml, cycle-with-milestones,essex
./deliverables/essex/swift.yaml, cycle-with-intermediary,essex
./deliverables/essex/horizon.yaml, cycle-with-milestones,essex
./deliverables/essex/keystone.yaml, cycle-with-milestones,essex
./deliverables/essex/glance.yaml, cycle-with-milestones,essex
./deliverables/essex/nova.yaml, cycle-with-milestones,essex
./deliverables/essex/python-keystoneclient.yaml, cycle-with-milestones,essex
./deliverables/folsom/python-novaclient.yaml, cycle-with-intermediary,folsom
./deliverables/folsom/python-swiftclient.yaml, cycle-with-intermediary,folsom
./deliverables/folsom/swift.yaml, cycle-with-intermediary,folsom
./deliverables/folsom/horizon.yaml, cycle-with-milestones,folsom
./deliverables/folsom/python-openstackclient.yaml, cycle-with-intermediary,folsom
./deliverables/folsom/python-neutronclient.yaml, cycle-with-intermediary,folsom
./deliverables/folsom/keystone.yaml, cycle-with-milestones,folsom
./deliverables/folsom/python-cinderclient.yaml, cycle-with-intermediary,folsom
./deliverables/folsom/glance.yaml, cycle-with-milestones,folsom
./deliverables/folsom/python-glanceclient.yaml, cycle-with-intermediary,folsom
./deliverables/folsom/neutron.yaml, cycle-with-milestones,folsom
./deliverables/folsom/nova.yaml, cycle-with-milestones,folsom
./deliverables/folsom/cinder.yaml, cycle-with-milestones,folsom
./deliverables/folsom/python-keystoneclient.yaml, cycle-with-intermediary,folsom
./deliverables/grizzly/python-novaclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/python-designateclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/python-swiftclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/swift.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/horizon.yaml, cycle-with-milestones,grizzly
./deliverables/grizzly/python-neutronclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/keystone.yaml, cycle-with-milestones,grizzly
./deliverables/grizzly/python-cinderclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/python-ceilometerclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/glance.yaml, cycle-with-milestones,grizzly
./deliverables/grizzly/python-glanceclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/neutron.yaml, cycle-with-milestones,grizzly
./deliverables/grizzly/nova.yaml, cycle-with-milestones,grizzly
./deliverables/grizzly/cinder.yaml, cycle-with-milestones,grizzly
./deliverables/grizzly/python-heatclient.yaml, cycle-with-intermediary,grizzly
./deliverables/grizzly/python-keystoneclient.yaml, cycle-with-intermediary,grizzly
./deliverables/havana/python-novaclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/python-designateclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/python-saharaclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/python-swiftclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/swift.yaml, cycle-with-intermediary,havana
./deliverables/havana/horizon.yaml, cycle-with-milestones,havana
./deliverables/havana/python-openstackclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/ceilometer.yaml, cycle-with-milestones,havana
./deliverables/havana/python-neutronclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/keystone.yaml, cycle-with-milestones,havana
./deliverables/havana/python-cinderclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/python-barbicanclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/python-ceilometerclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/glance.yaml, cycle-with-milestones,havana
./deliverables/havana/python-glanceclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/neutron.yaml, cycle-with-milestones,havana
./deliverables/havana/nova.yaml, cycle-with-milestones,havana
./deliverables/havana/cinder.yaml, cycle-with-milestones,havana
./deliverables/havana/heat.yaml, cycle-with-milestones,havana
./deliverables/havana/python-heatclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/python-keystoneclient.yaml, cycle-with-intermediary,havana
./deliverables/havana/python-troveclient.yaml, cycle-with-intermediary,havana
./deliverables/icehouse/python-zaqarclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-novaclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-designateclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-saharaclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-swiftclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/swift.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/horizon.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/python-openstackclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/ceilometer.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/python-neutronclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/oslo.messaging.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/keystone.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/python-cinderclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-barbicanclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-ironicclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-ceilometerclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/glance.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/python-glanceclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/neutron.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/nova.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/cinder.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/heat.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/python-heatclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/python-keystoneclient.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/taskflow.yaml, cycle-with-intermediary,icehouse
./deliverables/icehouse/trove.yaml, cycle-with-milestones,icehouse
./deliverables/icehouse/python-troveclient.yaml, cycle-with-intermediary,icehouse
./deliverables/juno/python-zaqarclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-novaclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-designateclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-saharaclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-swiftclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/oslo.vmware.yaml, cycle-with-intermediary,juno
./deliverables/juno/requirements.yaml, cycle-with-intermediary,juno
./deliverables/juno/keystonemiddleware.yaml, cycle-with-intermediary,juno
./deliverables/juno/swift.yaml, cycle-with-intermediary,juno
./deliverables/juno/horizon.yaml, cycle-with-milestones,juno
./deliverables/juno/oslosphinx.yaml, cycle-with-intermediary,juno
./deliverables/juno/oslo.serialization.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-openstackclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/ceilometer.yaml, cycle-with-milestones,juno
./deliverables/juno/python-neutronclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/pycadf.yaml, cycle-with-intermediary,juno
./deliverables/juno/oslo.messaging.yaml, cycle-with-intermediary,juno
./deliverables/juno/keystone.yaml, cycle-with-milestones,juno
./deliverables/juno/python-cinderclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-manilaclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/sahara.yaml, cycle-with-milestones,juno
./deliverables/juno/python-barbicanclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/oslo.config.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-ironicclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-ceilometerclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/oslotest.yaml, cycle-with-intermediary,juno
./deliverables/juno/oslo.utils.yaml, cycle-with-intermediary,juno
./deliverables/juno/glance.yaml, cycle-with-milestones,juno
./deliverables/juno/oslo.db.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-glanceclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/neutron.yaml, cycle-with-milestones,juno
./deliverables/juno/oslo.rootwrap.yaml, cycle-with-intermediary,juno
./deliverables/juno/nova.yaml, cycle-with-milestones,juno
./deliverables/juno/cinder.yaml, cycle-with-milestones,juno
./deliverables/juno/heat.yaml, cycle-with-milestones,juno
./deliverables/juno/python-heatclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/python-keystoneclient.yaml, cycle-with-intermediary,juno
./deliverables/juno/oslo.i18n.yaml, cycle-with-intermediary,juno
./deliverables/juno/os-client-config.yaml, cycle-with-intermediary,juno
./deliverables/juno/taskflow.yaml, cycle-with-intermediary,juno
./deliverables/juno/trove.yaml, cycle-with-milestones,juno
./deliverables/juno/python-troveclient.yaml, cycle-with-intermediary,juno
./deliverables/kilo/oslo.log.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-novaclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-designateclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-saharaclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-swiftclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.vmware.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/requirements.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/murano-dashboard.yaml, cycle-with-milestones,kilo
./deliverables/kilo/keystonemiddleware.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/glance-store.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/swift.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/horizon.yaml, cycle-with-milestones,kilo
./deliverables/kilo/oslo.policy.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslosphinx.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.serialization.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-openstackclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/ceilometer.yaml, cycle-with-milestones,kilo
./deliverables/kilo/python-neutronclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/pycadf.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/ironic.yaml, cycle-with-milestones,kilo
./deliverables/kilo/oslo.messaging.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.versionedobjects.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/keystone.yaml, cycle-with-milestones,kilo
./deliverables/kilo/python-cinderclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-manilaclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-muranoclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.concurrency.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/sahara.yaml, cycle-with-milestones,kilo
./deliverables/kilo/python-barbicanclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.config.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/murano.yaml, cycle-with-milestones,kilo
./deliverables/kilo/ceilometermiddleware.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-ironicclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-ceilometerclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslotest.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/debtcollector.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/murano-agent.yaml, cycle-with-milestones,kilo
./deliverables/kilo/oslo.utils.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/glance.yaml, cycle-with-milestones,kilo
./deliverables/kilo/oslo.db.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-glanceclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/neutron.yaml, cycle-with-milestones,kilo
./deliverables/kilo/oslo.rootwrap.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.context.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.middleware.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/nova.yaml, cycle-with-milestones,kilo
./deliverables/kilo/cinder.yaml, cycle-with-milestones,kilo
./deliverables/kilo/heat.yaml, cycle-with-milestones,kilo
./deliverables/kilo/python-heatclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-keystoneclient.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/oslo.i18n.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/os-client-config.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/taskflow.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/trove.yaml, cycle-with-milestones,kilo
./deliverables/kilo/manila-ui.yaml, cycle-with-intermediary,kilo
./deliverables/kilo/python-troveclient.yaml, cycle-with-intermediary,kilo
./deliverables/liberty/python-zaqarclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-ironic-inspector-client.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.log.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/futurist.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-novaclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-designateclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-saharaclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/keystoneauth.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/congress.yaml, cycle-with-milestones,liberty
./deliverables/liberty/python-swiftclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.vmware.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/openstack-ansible.yaml, cycle-trailing,liberty
./deliverables/liberty/python-congressclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/requirements.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/murano-dashboard.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/keystonemiddleware.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/glance-store.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/automaton.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.service.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/swift.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/horizon.yaml, cycle-with-milestones,liberty
./deliverables/liberty/oslo.policy.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/mistral.yaml, cycle-with-milestones,liberty
./deliverables/liberty/oslosphinx.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.serialization.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/ironic-inspector.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-openstackclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/ceilometer.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/tripleo-heat-templates.yaml, cycle-trailing,liberty
./deliverables/liberty/stevedore.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-neutronclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/ironic-python-agent.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/pycadf.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/ironic.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.messaging.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.versionedobjects.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/aodh.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/keystone.yaml, cycle-with-milestones,liberty
./deliverables/liberty/python-cinderclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-manilaclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-muranoclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.concurrency.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.reports.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/sahara.yaml, cycle-with-milestones,liberty
./deliverables/liberty/os-brick.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-barbicanclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/instack-undercloud.yaml, cycle-trailing,liberty
./deliverables/liberty/oslo.config.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/murano.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/searchlight.yaml, cycle-with-milestones,liberty
./deliverables/liberty/ceilometermiddleware.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-ironicclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-ceilometerclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/designate.yaml, cycle-with-milestones,liberty
./deliverables/liberty/oslotest.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/octavia.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/debtcollector.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/murano-agent.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/designate-dashboard.yaml, cycle-with-milestones,liberty
./deliverables/liberty/python-mistralclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.utils.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.cache.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/glance.yaml, cycle-with-milestones,liberty
./deliverables/liberty/tooz.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.db.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-glanceclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/neutron.yaml, cycle-with-milestones,liberty
./deliverables/liberty/oslo.rootwrap.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.context.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.middleware.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/nova.yaml, cycle-with-milestones,liberty
./deliverables/liberty/cinder.yaml, cycle-with-milestones,liberty
./deliverables/liberty/heat.yaml, cycle-with-milestones,liberty
./deliverables/liberty/mox3.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-heatclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-keystoneclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/oslo.i18n.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/os-client-config.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-magnumclient.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/taskflow.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/manila.yaml, cycle-with-milestones,liberty
./deliverables/liberty/trove.yaml, cycle-with-milestones,liberty
./deliverables/liberty/zaqar.yaml, cycle-with-milestones,liberty
./deliverables/liberty/manila-ui.yaml, cycle-with-intermediary,liberty
./deliverables/liberty/python-tripleoclient.yaml, cycle-trailing,liberty
./deliverables/liberty/barbican.yaml, cycle-with-milestones,liberty
./deliverables/liberty/python-troveclient.yaml, cycle-with-intermediary,liberty
./deliverables/mitaka/python-zaqarclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-ironic-inspector-client.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/oslo.log.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/futurist.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-novaclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-designateclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/solum-dashboard.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/monasca-common.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/monasca-agent.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-saharaclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/keystoneauth.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/congress.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/senlin-dashboard.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-swiftclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/oslo.vmware.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-congressclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/requirements.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/murano-dashboard.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/freezer.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/keystonemiddleware.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/glance-store.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/solum-infra-guestagent.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/automaton.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-senlinclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/oslo.service.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/magnum.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/swift.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/vmware-nsx.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/monasca-notification.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/horizon.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/oslo.policy.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/mistral.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/oslosphinx.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/searchlight-ui.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/oslo.serialization.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/ironic-inspector.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/monasca-ceilometer.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-openstackclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/ceilometer.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/astara.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/tripleo-heat-templates.yaml, cycle-trailing,mitaka
./deliverables/mitaka/python-brick-cinderclient-ext.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/stevedore.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-neutronclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/ironic-python-agent.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/os-win.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/pycadf.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/ironic.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/monasca-statsd.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/oslo.messaging.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/oslo.versionedobjects.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/aodh.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/keystone.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/monasca-log-api.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-cinderclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-manilaclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-muranoclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/oslo.concurrency.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/oslo.reports.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/ironic-ui.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/senlin.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/sahara.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/python-tackerclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/os-brick.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/python-barbicanclient.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/astara-horizon.yaml, cycle-with-milestones,mitaka
./deliverables/mitaka/instack-undercloud.yaml, cycle-trailing,mitaka
./deliverables/mitaka/oslo.config.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/murano.yaml, cycle-with-intermediary,mitaka
./deliverables/mitaka/searchlight.yaml, cycle-with-milestones,mitaka
