releases,strategies,delivrables
austin, cycle-with-intermediary,1
austin, cycle-with-milestones,1
bexar, cycle-with-intermediary,1
bexar, cycle-with-milestones,2
cactus, cycle-with-intermediary,1
cactus, cycle-with-milestones,2
diablo, cycle-with-intermediary,2
diablo, cycle-with-milestones,2
essex, cycle-with-intermediary,1
essex, cycle-with-milestones,6
folsom, cycle-with-intermediary,8
folsom, cycle-with-milestones,6
grizzly, cycle-with-intermediary,10
grizzly, cycle-with-milestones,6
havana, cycle-with-intermediary,14
havana, cycle-with-milestones,8
icehouse, cycle-with-intermediary,18
icehouse, cycle-with-milestones,9
independent, abandoned,19
juno, cycle-with-intermediary,32
juno, cycle-with-milestones,10
kilo, cycle-with-intermediary,42
kilo, cycle-with-milestones,14
liberty, cycle-trailing,4
liberty, cycle-with-intermediary,66
liberty, cycle-with-milestones,17
mitaka, cycle-trailing,6
mitaka, cycle-with-intermediary,102
mitaka, cycle-with-milestones,24
newton, cycle-trailing,48
newton, cycle-with-intermediary,119
newton, cycle-with-milestones,34
ocata, cycle-trailing,45
ocata, cycle-with-intermediary,122
ocata, cycle-with-milestones,34
pike, cycle-trailing,45
pike, cycle-with-intermediary,149
pike, cycle-with-milestones,39
pike, untagged,2
queens, cycle-trailing,53
queens, cycle-with-intermediary,156
queens, cycle-with-milestones,45
queens, untagged,5
rocky, cycle-trailing,49
rocky, cycle-with-intermediary,184
rocky, cycle-with-milestones,49
rocky, untagged,9
stein, cycle-trailing,59
stein, cycle-with-intermediary,180
stein, cycle-with-rc,66
stein, untagged,9
train, cycle-automatic,30
train, cycle-trailing,62
train, cycle-with-intermediary,138
train, cycle-with-rc,77
train, untagged,9
ussuri, cycle-automatic,30
ussuri, cycle-with-intermediary,187
ussuri, cycle-with-rc,91
ussuri, untagged,9
victoria, cycle-with-intermediary,213
victoria, cycle-with-rc,85
victoria, untagged,9
